route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"97A",11367_13,11367_17660,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /03,2418686,0,0
"97A",11367_13,11367_17661,"NOWE SADY ZAJEZDNIA",,1,97   /03,2418687,0,0
"97A",11367_13,11367_17662,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /04,2418686,0,0
"97A",11367_13,11367_17663,"NOWE SADY ZAJEZDNIA",,1,97   /04,2418687,0,0
"97A",11367_13,11367_17664,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /04,2418686,0,0
"97A",11367_13,11367_17665,"NOWE SADY ZAJEZDNIA",,1,97   /04,2418687,0,0
"97A",11367_13,11367_17666,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /05,2418686,0,0
"97A",11367_13,11367_17667,"NOWE SADY ZAJEZDNIA",,1,97   /05,2418687,0,0
"97A",11367_13,11367_17668,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /05,2418686,0,0
"97A",11367_13,11367_17669,"NOWE SADY ZAJEZDNIA",,1,97   /05,2418687,0,0
"2",11367_11,11367_1767,"DW. ŁÓDŹ DĄBROWA",,1,2    /02,2418001,0,0
"97A",11367_13,11367_17670,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /05,2418686,0,0
